"mtry","ntree","nodesize"
8,2000,100
9,2000,100
10,2000,100
11,2000,100
12,2000,100
13,2000,100
14,2000,100
15,2000,100
2,3000,100
3,3000,100
4,3000,100
5,3000,100
6,3000,100
7,3000,100
8,3000,100
9,3000,100
10,3000,100
11,3000,100
12,3000,100
13,3000,100
14,3000,100
15,3000,100
2,4000,100
3,4000,100
4,4000,100
5,4000,100
6,4000,100
7,4000,100
8,4000,100
9,4000,100
10,4000,100
11,4000,100
12,4000,100
13,4000,100
14,4000,100
15,4000,100
2,5000,100
3,5000,100
4,5000,100
5,5000,100
6,5000,100
7,5000,100
8,5000,100
9,5000,100
10,5000,100
11,5000,100
12,5000,100
13,5000,100
14,5000,100
15,5000,100
2,6000,100
3,6000,100
4,6000,100
5,6000,100
6,6000,100
7,6000,100
8,6000,100
9,6000,100
10,6000,100
11,6000,100
12,6000,100
13,6000,100
14,6000,100
15,6000,100
2,7000,100
3,7000,100
4,7000,100
5,7000,100
6,7000,100
7,7000,100
8,7000,100
9,7000,100
10,7000,100
11,7000,100
12,7000,100
13,7000,100
14,7000,100
15,7000,100
2,8000,100
3,8000,100
4,8000,100
5,8000,100
6,8000,100
7,8000,100
8,8000,100
9,8000,100
10,8000,100
11,8000,100
12,8000,100
13,8000,100
14,8000,100
15,8000,100
2,9000,100
3,9000,100
4,9000,100
5,9000,100
6,9000,100
7,9000,100
8,9000,100
9,9000,100
10,9000,100
11,9000,100
12,9000,100
13,9000,100
14,9000,100
15,9000,100
2,10000,100
3,10000,100
4,10000,100
5,10000,100
6,10000,100
7,10000,100
8,10000,100
9,10000,100
10,10000,100
11,10000,100
12,10000,100
13,10000,100
14,10000,100
15,10000,100
2,1000,110
3,1000,110
4,1000,110
5,1000,110
6,1000,110
7,1000,110
8,1000,110
9,1000,110
10,1000,110
11,1000,110
12,1000,110
13,1000,110
14,1000,110
15,1000,110
2,2000,110
3,2000,110
4,2000,110
5,2000,110
6,2000,110
7,2000,110
8,2000,110
9,2000,110
10,2000,110
11,2000,110
12,2000,110
13,2000,110
14,2000,110
15,2000,110
2,3000,110
3,3000,110
4,3000,110
5,3000,110
6,3000,110
7,3000,110
8,3000,110
9,3000,110
10,3000,110
11,3000,110
12,3000,110
13,3000,110
14,3000,110
15,3000,110
2,4000,110
3,4000,110
4,4000,110
5,4000,110
6,4000,110
7,4000,110
8,4000,110
9,4000,110
10,4000,110
11,4000,110
12,4000,110
13,4000,110
14,4000,110
15,4000,110
2,5000,110
3,5000,110
4,5000,110
5,5000,110
6,5000,110
7,5000,110
8,5000,110
9,5000,110
10,5000,110
11,5000,110
12,5000,110
