"combination","mtry","ntree","nodesize","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
91,8,7000,10,0.376992584469861,0.91042471042471,0.192708014918844,0.830853218957778,0.661706437915555,0.830853218957777,0.9,0.190943504898731,0.827059120768065,0.654118241536129,0.827059120768065
92,9,7000,10,0.403153460106358,0.892664092664093,0.202442928618567,0.831380663581699,0.662761327163398,0.831380663581699,0.878125,0.200680490416297,0.82506553183426,0.65013106366852,0.82506553183426
93,10,7000,10,0.398357931267907,0.891891891891892,0.20059460591115,0.83052733248465,0.661054664969301,0.83052733248465,0.8875,0.200813906772305,0.829550909550278,0.659101819100556,0.829550909550278
94,11,7000,10,0.402436635950897,0.886486486486486,0.201120498732367,0.829478879055846,0.658957758111692,0.829478879055846,0.88125,0.202842122178751,0.829306152097019,0.658612304194038,0.829306152097019
95,12,7000,10,0.390509207711116,0.894980694980695,0.197860048122416,0.830404856898101,0.660809713796202,0.830404856898101,0.878125,0.197695929594198,0.825116062405255,0.65023212481051,0.825116062405255
96,13,7000,10,0.407163858871019,0.885714285714286,0.203371011993111,0.831138491512276,0.662276983024552,0.831138491512276,0.878125,0.20490741784219,0.830623894643759,0.661247789287519,0.830623894643759
97,14,7000,10,0.396962721364902,0.891119691119691,0.200739999362154,0.831012554235183,0.662025108470367,0.831012554235183,0.878125,0.201125638461875,0.827743652097019,0.655487304194037,0.827743652097019
98,15,7000,10,0.395411558913303,0.893436293436293,0.19994075193211,0.831299533256851,0.662599066513702,0.831299533256851,0.884375,0.201820368165098,0.830060162961092,0.660120325922183,0.830060162961092
99,2,8000,10,0.541852649044026,0.877220077220077,0.188775668812281,0.816890124479467,0.633780248958933,0.816890124479467,0.8625,0.185490508335447,0.810684057604851,0.621368115209702,0.810684057604851
100,3,8000,10,0.453195824999567,0.902702702702703,0.190880004543239,0.82768674723467,0.65537349446934,0.82768674723467,0.871875,0.183553610582247,0.812592376200101,0.625184752400202,0.812592376200101
101,4,8000,10,0.432305951426089,0.902702702702703,0.197984859020338,0.832902052197418,0.665804104394836,0.832902052197418,0.875,0.192260302019107,0.820471197574532,0.640942395149065,0.820471197574533
102,5,8000,10,0.423114648939859,0.896525096525096,0.200412723310275,0.832717656230726,0.665435312461452,0.832717656230726,0.875,0.197566498708483,0.824513643254169,0.649027286508337,0.824513643254169
103,6,8000,10,0.406706677497719,0.897297297297297,0.197794470227534,0.831020160203138,0.662040320406276,0.831020160203138,0.890625,0.197876812032263,0.83020385927236,0.660407718544719,0.83020385927236
104,7,8000,10,0.390499274350492,0.902702702702703,0.196305726713043,0.830553270785623,0.661106541571247,0.830553270785623,0.890625,0.193131324930165,0.824948679888833,0.649897359777666,0.824948679888833
105,8,8000,10,0.394337593521559,0.8996138996139,0.197802983472869,0.831029326369647,0.662058652739294,0.831029326369647,0.89375,0.197364738934003,0.829997789287519,0.659995578575038,0.829997789287519
106,9,8000,10,0.411059929487236,0.885714285714286,0.203693693014812,0.830431331517327,0.660862663034654,0.830431331517327,0.86875,0.201364628011198,0.823106682668014,0.646213365336028,0.823106682668014
107,10,8000,10,0.400841745197116,0.89034749034749,0.201151973963949,0.830285501708661,0.660571003417322,0.830285501708661,0.884375,0.201788255781877,0.828897959828196,0.657795919656392,0.828897959828196
108,11,8000,10,0.40640222099931,0.885714285714286,0.202216712049193,0.830027240091642,0.660054480183284,0.830027240091642,0.88125,0.203580936931349,0.829912518948964,0.659825037897928,0.829912518948964
109,12,8000,10,0.390948787181408,0.894208494208494,0.198693213872649,0.830081895797264,0.660163791594528,0.830081895797264,0.884375,0.19944452592357,0.827230450985346,0.654460901970692,0.827230450985346
110,13,8000,10,0.395154195293214,0.893436293436294,0.199707215708264,0.831097487544008,0.662194975088017,0.831097487544008,0.8875,0.201280742413532,0.830814173825164,0.661628347650329,0.830814173825164
111,14,8000,10,0.415199016630702,0.881081081081081,0.206030080851492,0.831069647751047,0.662139295502094,0.831069647751047,0.875,0.207027829209886,0.8308299646286,0.6616599292572,0.8308299646286
112,15,8000,10,0.386665867417216,0.899613899613899,0.196938104486244,0.831168232797227,0.662336465594453,0.831168232797227,0.884375,0.197628423831902,0.827230450985346,0.654460901970692,0.827230450985346
113,2,9000,10,0.52344646097519,0.891119691119691,0.184305675352645,0.816970377192627,0.633940754385255,0.816970377192627,0.8625,0.177995594753147,0.803508716523497,0.607017433046993,0.803508716523497
114,3,9000,10,0.46647172042475,0.894208494208494,0.194191194168332,0.827417417959153,0.654834835918306,0.827417417959153,0.85625,0.187262926452323,0.810035055583628,0.620070111167256,0.810035055583628
115,4,9000,10,0.429823074618957,0.902702702702703,0.197017916614323,0.832182264345416,0.664364528690832,0.832182264345416,0.86875,0.189640793522482,0.816285055583628,0.632570111167256,0.816285055583628
116,5,9000,10,0.416438733667339,0.9003861003861,0.198412199473686,0.832450911034065,0.664901822068131,0.832450911034065,0.875,0.194058013487828,0.82183552299141,0.643671045982819,0.82183552299141
117,6,9000,10,0.406314876662663,0.898841698841699,0.198003553534449,0.831691338118917,0.663382676237835,0.831691338118917,0.89375,0.198792464566236,0.831917950985346,0.663835901970692,0.831917950985346
118,7,9000,10,0.387846566871777,0.904247104247104,0.195564333625778,0.830353126564769,0.660706253129539,0.830353126564769,0.89375,0.192833001760084,0.825601629610915,0.651203259221829,0.825601629610915
119,8,9000,10,0.394094170955897,0.8996138996139,0.197590967310038,0.830915675656173,0.661831351312346,0.830915675656173,0.890625,0.196759745244255,0.82853635042951,0.65707270085902,0.82853635042951
120,9,9000,10,0.403102978656421,0.88957528957529,0.200844436161388,0.82984888989435,0.6596977797887,0.82984888989435,0.88125,0.200110687978815,0.826981745831228,0.653963491662456,0.826981745831228
121,10,9000,10,0.402987412696664,0.888803088803089,0.201859263467471,0.830094182360883,0.660188364721765,0.830094182360883,0.88125,0.202205109195795,0.827941826680141,0.655883653360283,0.827941826680141
122,11,9000,10,0.408139241857216,0.884942084942085,0.202822042876215,0.830196765415859,0.660393530831717,0.830196765415859,0.88125,0.204494625431955,0.8306199469429,0.661239893885801,0.8306199469429
123,12,9000,10,0.395885628526618,0.893436293436293,0.200074706494336,0.830680768261271,0.661361536522542,0.830680768261271,0.884375,0.200362342529132,0.828241062405255,0.65648212481051,0.828241062405255
124,13,9000,10,0.406208057276337,0.887258687258687,0.203119135712558,0.831064625861949,0.662129251723898,0.831064625861949,0.88125,0.204343821757702,0.830569416371905,0.66113883274381,0.830569416371905
125,14,9000,10,0.401005235687444,0.891119691119691,0.201127563240076,0.830873647807604,0.661747295615208,0.830873647807604,0.878125,0.201630517481312,0.827693121526023,0.655386243052047,0.827693121526023
126,15,9000,10,0.384707057510638,0.9003861003861,0.196311425572099,0.830960823901852,0.661921647803704,0.830960823901852,0.884375,0.196858924369486,0.8266240841334,0.653248168266801,0.826624084133401
127,2,10000,10,0.548393887795785,0.872586872586873,0.190568264038016,0.816745513575922,0.633491027151843,0.816745513575922,0.859375,0.186960869658032,0.810991188731683,0.621982377463365,0.810991188731683
128,3,10000,10,0.481062755307828,0.885714285714286,0.19826147019882,0.827413273681742,0.654826547363484,0.827413273681742,0.85625,0.192033514342669,0.813774317837292,0.627548635674583,0.813774317837292
129,4,10000,10,0.42919900504322,0.903474903474903,0.196945359625582,0.832416830446885,0.664833660893769,0.832416830446885,0.86875,0.189492739073922,0.816183994441637,0.632367988883274,0.816183994441637
130,5,10000,10,0.420583255915147,0.898841698841699,0.199831828858399,0.832726822397235,0.665453644794471,0.832726822397235,0.871875,0.195220028878249,0.82138469555331,0.64276939110662,0.82138469555331
131,6,10000,10,0.409610162738174,0.897297297297297,0.198842878402905,0.831777831626297,0.663555663252595,0.831777831626297,0.890625,0.198902149727438,0.830911287266296,0.661822574532592,0.830911287266296
132,7,10000,10,0.382151011204482,0.908108108108108,0.193514482533984,0.830212659938635,0.660425319877271,0.830212659938635,0.90625,0.192545114242719,0.829830406771096,0.659660813542193,0.829830406771096
133,8,10000,10,0.397174088369331,0.898069498069498,0.19875831492892,0.830976913449448,0.661953826898896,0.830976913449448,0.88125,0.196592575602742,0.824808931278424,0.649617862556847,0.824808931278424
134,9,10000,10,0.400633104844166,0.891119691119691,0.200103943627687,0.829863419243392,0.659726838486783,0.829863419243391,0.884375,0.200394966167924,0.82819053183426,0.656381063668519,0.82819053183426
135,10,10000,10,0.405578911265638,0.887258687258687,0.202641221471082,0.830205931582368,0.660411863164736,0.830205931582368,0.88125,0.202964181127854,0.828497662961091,0.656995325922183,0.828497662961091
136,11,10000,10,0.417633340013973,0.879536679536679,0.205706712723842,0.830436353406425,0.660872706812851,0.830436353406425,0.875,0.207371484037244,0.830678372915614,0.661356745831228,0.830678372915614
137,12,10000,10,0.398995791900972,0.891119691119691,0.201263629253635,0.830595834952446,0.661191669904891,0.830595834952446,0.8875,0.202713707591787,0.830763643254169,0.661527286508338,0.830763643254169
138,13,10000,10,0.38968216473296,0.897297297297297,0.198301654994582,0.831398995914718,0.662797991829435,0.831398995914718,0.8875,0.199471601972133,0.829500378979282,0.659000757958565,0.829500378979282
139,14,10000,10,0.39522098106517,0.892664092664092,0.199804420226545,0.830989200013067,0.661978400026133,0.830989200013067,0.88125,0.201313225260441,0.828699785245073,0.657399570490147,0.828699785245073
140,15,10000,10,0.400124098476933,0.889575289575289,0.201251049691677,0.83084649060151,0.66169298120302,0.83084649060151,0.88125,0.203729445123937,0.82996304951996,0.659926099039919,0.82996304951996
