"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1146,13,80,3000,0.738868623983187,0.835333333333333,0.267220694235646,0.833737869797585,0.667475739595169,0.833737869797585,0.826666666666667,0.271406618941031,0.832272727272727,0.664545454545455,0.832272727272727
1147,14,80,3000,0.682664461911249,0.854666666666667,0.258243162260544,0.837066952825822,0.674133905651643,0.837066952825822,0.845333333333333,0.262934546014748,0.83579797979798,0.67159595959596,0.83579797979798
1148,15,80,3000,0.663128185532443,0.864,0.2495057276909,0.835534907208686,0.671069814417371,0.835534907208686,0.842666666666667,0.250202204607795,0.82789898989899,0.65579797979798,0.82789898989899
1149,2,90,3000,0.621457969584419,0.852,0.285859434147255,0.847487185961369,0.694974371922737,0.847487185961369,0.856,0.287485207171616,0.849919191919192,0.699838383838384,0.849919191919192
1150,3,90,3000,0.598122888176137,0.878666666666667,0.262339157799196,0.847829735302781,0.695659470605563,0.847829735302782,0.906666666666667,0.272363210471198,0.863181818181818,0.726363636363636,0.863181818181818
1151,4,90,3000,0.609609122314681,0.896,0.253830440139797,0.849174094180028,0.698348188360056,0.849174094180028,0.898666666666667,0.258157751708792,0.852262626262626,0.704525252525252,0.852262626262626
1152,5,90,3000,0.590088556718067,0.878,0.26716533011229,0.849680469637672,0.699360939275344,0.849680469637672,0.869333333333333,0.266013390662429,0.845575757575758,0.691151515151515,0.845575757575758
1153,6,90,3000,0.614122309579154,0.872,0.257214991615446,0.842716323696503,0.685432647393006,0.842716323696503,0.872,0.257937656033571,0.843222222222222,0.686444444444444,0.843222222222222
1154,7,90,3000,0.625885335144488,0.868,0.270814625938121,0.847457896730211,0.694915793460421,0.847457896730211,0.866666666666667,0.272049025725908,0.847777777777778,0.695555555555555,0.847777777777778
1155,8,90,3000,0.653359000812552,0.85,0.271109590111806,0.840099103648529,0.680198207297059,0.840099103648529,0.864,0.273377217670379,0.847151515151515,0.69430303030303,0.847151515151515
1156,9,90,3000,0.655060448134016,0.838666666666667,0.273407774320265,0.837538105458065,0.67507621091613,0.837538105458065,0.845333333333333,0.275434750038272,0.84069696969697,0.681393939393939,0.84069696969697
1157,10,90,3000,0.621188203858006,0.864666666666667,0.252666203045372,0.837787190169591,0.675574380339183,0.837787190169591,0.856,0.257539852246022,0.836888888888889,0.673777777777778,0.836888888888889
1158,11,90,3000,0.648839214995081,0.862666666666667,0.254980226665755,0.838062281698439,0.676124563396877,0.838062281698439,0.856,0.258782891296968,0.837292929292929,0.674585858585859,0.837292929292929
1159,12,90,3000,0.644305082316883,0.868,0.250874301119509,0.837825274586542,0.675650549173084,0.837825274586542,0.858666666666667,0.254558691284539,0.83620202020202,0.67240404040404,0.83620202020202
